Id,predicted_sellPrice
30217,1320701.43096493
155449,844783.843514222
39851,1130907.13329012
166986,1142786.75417874
19625,1638835.91522556
130816,
75325,1363682.83816598
83492,
177678,1854503.73719407
121667,435123.94512698
145821,1806265.54120836
194251,1474583.5106817
82983,1680628.93455205
109254,1197526.56179238
143842,1791215.79633527
127486,1461786.12936824
171502,
197874,931693.353377971
165658,1202452.26655807
40928,1230675.31421844
59804,1846522.87375509
57863,1485987.53603401
115676,629392.20116532
73560,1605373.5829764
80397,891262.946322448
173884,562734.125665199
74288,1889118.9146562
192601,1352572.76355318
186688,367131.946346311
167930,1302745.0771765
53706,980559.020795826
150346,234631.42189405
193770,1986455.89197005
182298,617058.640512799
185723,506044.18058447
84928,1091082.44835476
132305,957702.470207246
188693,1047925.1341029
52412,1719332.39626888
68164,2784378.27592393
13572,1192404.94905782
52595,1755671.34228237
51482,715450.112460101
6902,276264.460621643
194643,1862838.56297402
171503,1085784.50742456
116066,933021.117978617
92851,
149607,546671.823068881
24894,1121535.35329813
64779,1510009.52770114
170957,
148128,1146928.66866019
149325,923825.071442098
147601,742924.938245676
12529,883296.649626879
97436,2184570.94672571
163513,2056815.46990548
178851,1128424.37078874
6229,855329.998492634
121570,142647.362571702
27332,876160.821572224
148561,1579129.04109072
32548,980356.772126216
4199,24270.7503240083
46161,1562593.33187139
147640,729635.500674155
104547,1682486.41453459
102704,1586113.38638342
10362,985598.132503279
189193,1432343.27700042
152855,
55821,1200877.90942884
76929,1891541.58865663
3171,1126963.33925333
167020,1906634.28145467
5698,
156594,930336.758650937
72377,832226.560229616
60427,1328131.63090391
83247,
134335,1866273.75847215
190448,923270.220140023
176028,558710.445107857
92394,2155668.91763484
123780,883233.243413529
164988,1790544.59221349
194372,1443365.86959388
175815,1768124.46876746
109474,1864837.60859594
112642,1395862.58353761
6927,260969.070209138
108185,903545.935751184
129085,1871555.73227646
160351,1262499.06213481
169145,1385050.09382199
181763,1779514.64345612
17701,1017235.28661859
57746,1505796.32033873
87003,1556229.09363233
181846,1352644.99897486
135920,1509244.39171129
57965,2223005.44406177
155856,1118144.12961361
97034,1160849.34898045
66770,1404178.30628921
175748,954105.925976228
14356,
25207,971170.647371603
181618,1041368.38695531
96217,1402905.34138838
18360,1471968.25087324
21766,1337362.77937175
87404,1581219.72475698
126658,950509.653328574
51692,413685.360364488
107619,2282040.88316543
